Feature,FeatureValue,SHAPValue,AbsoluteSHAP,FeatureFamily,Direction,Experiment,ToolIndex,NumberOfCycle,ActualHealth,PredictedHealth
NumberOfCycle,79.0,-0.11629326,0.11629326,Cycle Age,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - Spindle -X - std,305.75596498103397,-0.06825406,0.06825406,Vibration,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L1 - max,180198.0,0.0462122,0.0462122,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - X Driving axle -X - skew,0.2388084268885507,0.019442638,0.019442638,Vibration,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
HardnessMean,38.33,-0.015040271,0.015040271,Process Context,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - Spindle -Z - std,133.022259905585,-0.007687184,0.007687184,Vibration,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L3 - max,180483.0,0.00493716,0.00493716,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L2 - max,180079.0,0.004426966,0.004426966,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
MillingToolType,2.0,-0.0040909303,0.0040909303,Process Context,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Driving axle X L1 - mean,5864.3398217297035,0.0037062934,0.0037062934,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - X Driving axle +Z - std,38.70421047651505,-0.0036407316,0.0036407316,Vibration,Pushes health DOWN,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Driving axle X L3 - mean,5952.173163093231,0.0035614972,0.0035614972,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - Spindle +Y - kurtosis,66.64954884556792,0.0029290547,0.0029290547,Vibration,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Driving axle X L3 - kurtosis,0.0140157488469139,0.0028972204,0.0028972204,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L1 - mean,166437.59474825344,0.0025235622,0.0025235622,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L2 - std,18573.091415271698,0.0024452575,0.0024452575,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Spindle L1 - std,18371.743513592897,0.0021617925,0.0021617925,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Current - Driving axle X L1 - std,2891.3186612976065,0.0018289007,0.0018289007,Electrical Current,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
Accelerometer - Spindle -X - mean,-4.333268446305824,0.001614558,0.001614558,Vibration,Pushes health UP,D_age_aware,102,79,0.071428571,0.3858884572982788
