column,dtype,missing_count,missing_percent,unique_values,is_constant,min,max,mean,std
Accelerometer - Spindle +Y - min,float64,0,0.0,911,False,-32768.0,-5576.0,-16880.75929752066,3628.143306720626
Accelerometer - Spindle -Z - min,float64,0,0.0,651,False,-32768.0,-526.0,-1541.7995867768595,2597.591245025978
Accelerometer - Spindle -X - min,float64,0,0.0,702,False,-32768.0,-1168.0,-2434.2179752066118,2672.544201660971
Accelerometer - X Driving axle +Z - min,float64,0,0.0,316,False,-3446.0,-107.0,-329.23553719008265,206.37551816018504
Accelerometer - X Driving axle -X - min,float64,0,0.0,335,False,-2679.0,-108.0,-322.55785123966945,231.86985250536327
Accelerometer - Y Driving axle +Z - min,float64,0,0.0,287,False,-2860.0,-62.0,-284.7097107438017,173.92120263105318
Accelerometer - Y Driving axle +Y - min,float64,0,0.0,265,False,-1864.0,-67.0,-225.39462809917356,129.92312281042564
Accelerometer - Y Driving axle -X - min,float64,0,0.0,387,False,-3470.0,-74.0,-384.43801652892563,215.51575012803343
Current - Spindle L1 - min,float64,0,0.0,814,False,309.0,129252.0,57732.23037190083,62167.58675781298
Current - Spindle L2 - min,float64,0,0.0,822,False,436.0,129017.0,57841.92458677686,62257.78547497227
Current - Spindle L3 - min,float64,0,0.0,837,False,300.0,129056.0,57872.91838842975,62131.83462444958
Current - Driving axle X L1 - min,float64,0,0.0,328,False,249.0,2004.0,445.5413223140496,291.4512529232194
Current - Driving axle X L2 - min,float64,0,0.0,304,False,275.0,2158.0,454.7097107438017,290.45002245066456
Current - Driving axle X L3 - min,float64,0,0.0,307,False,286.0,2249.0,474.3223140495868,293.31859606639756
Current - Driving axle Y L1 - min,float64,0,0.0,206,False,239.0,2681.0,321.9307851239669,177.3321201305423
Current - Driving axle Y L2 - min,float64,0,0.0,202,False,261.0,2387.0,340.9607438016529,176.71200844278994
Current - Driving axle Y L3 - min,float64,0,0.0,211,False,297.0,2516.0,368.3956611570248,155.13967240608605
Current - Driving axle Z L1 - min,float64,0,0.0,71,False,244.0,383.0,311.30061983471074,11.962346977929181
Current - Driving axle Z L2 - min,float64,0,0.0,82,False,246.0,400.0,333.5330578512397,14.256149171220803
Current - Driving axle Z L3 - min,float64,0,0.0,77,False,280.0,413.0,364.25,13.447646388182305
Accelerometer - Spindle +Y - max,float64,0,0.0,712,False,1107.0,32767.0,2813.03305785124,3863.5692925489166
Accelerometer - Spindle -Z - max,float64,0,0.0,510,False,490.0,32767.0,1108.1095041322315,2201.348471848889
Accelerometer - Spindle -X - max,float64,0,0.0,707,False,1081.0,32767.0,2377.396694214876,2793.0301540137393
Accelerometer - X Driving axle +Z - max,float64,0,0.0,334,False,73.0,3221.0,297.7262396694215,210.84592131990925
Accelerometer - X Driving axle -X - max,float64,0,0.0,326,False,122.0,3469.0,331.3202479338843,248.4496555802663
Accelerometer - Y Driving axle +Z - max,float64,0,0.0,294,False,79.0,2979.0,295.2603305785124,171.27772278173546
Accelerometer - Y Driving axle +Y - max,float64,0,0.0,261,False,53.0,2155.0,198.61363636363637,139.5170333160629
Accelerometer - Y Driving axle -X - max,float64,0,0.0,376,False,83.0,3549.0,405.94214876033055,219.00173713696392
Current - Spindle L1 - max,float64,0,0.0,964,False,160454.0,445190.0,297625.98450413224,96234.15903535369
Current - Spindle L2 - max,float64,0,0.0,968,False,160330.0,462873.0,298307.62190082646,96649.90021572732
Current - Spindle L3 - max,float64,0,0.0,964,False,160618.0,441512.0,297729.39462809917,96007.09478721957
Current - Driving axle X L1 - max,float64,0,0.0,938,False,5730.0,60559.0,15172.304752066115,6433.159505520809
Current - Driving axle X L2 - max,float64,0,0.0,941,False,5872.0,60583.0,15430.905991735537,6547.897594054023
Current - Driving axle X L3 - max,float64,0,0.0,939,False,5854.0,61508.0,15345.29132231405,6519.785769937628
Current - Driving axle Y L1 - max,float64,0,0.0,934,False,7964.0,53948.0,19776.284090909092,4655.560367112131
Current - Driving axle Y L2 - max,float64,0,0.0,920,False,8127.0,55047.0,20337.414256198346,4641.539048111411
Current - Driving axle Y L3 - max,float64,0,0.0,926,False,7697.0,54474.0,20114.603305785124,4711.434277264829
Current - Driving axle Z L1 - max,float64,0,0.0,943,False,2706.0,57672.0,33746.760330578516,10788.020398876413
Current - Driving axle Z L2 - max,float64,0,0.0,946,False,2822.0,59074.0,34898.56404958678,10791.775411755729
Current - Driving axle Z L3 - max,float64,0,0.0,939,False,3094.0,58246.0,34524.72623966942,10669.966240159152
Accelerometer - Spindle +Y - mean,float64,0,0.0,968,False,-1232.3259668382343,831.0311089899964,-14.421250965473515,62.395191664536036
Accelerometer - Spindle -Z - mean,float64,0,0.0,968,False,-14.65689960819138,820.414870532793,19.091763990437283,26.915367800300377
Accelerometer - Spindle -X - mean,float64,0,0.0,968,False,-828.1801795344142,1026.8978533462305,-3.0004459481427204,50.39076686786735
Accelerometer - X Driving axle +Z - mean,float64,0,0.0,968,False,-22.926024545328776,23.455290285735284,-18.96760389220723,3.6521082868589243
Accelerometer - X Driving axle -X - mean,float64,0,0.0,968,False,7.345861849195724,39.26703301452134,12.699584679322312,2.522016648710724
Accelerometer - Y Driving axle +Z - mean,float64,0,0.0,968,False,3.106346849212129,39.208248467893625,5.941201028699812,3.042545617651779
Accelerometer - Y Driving axle +Y - mean,float64,0,0.0,968,False,-16.060083658772648,22.81348372640771,-10.981346150668745,3.0456027494442344
Accelerometer - Y Driving axle -X - mean,float64,0,0.0,968,False,7.06643154256381,39.557536115738046,11.213608412190354,2.8496078952724844
Current - Spindle L1 - mean,float64,0,0.0,968,False,129221.60268523124,202534.46005116467,158781.79144813315,14925.972340554725
Current - Spindle L2 - mean,float64,0,0.0,968,False,128479.2575832919,201994.9680624747,158875.36572122274,14908.398400418842
Current - Spindle L3 - mean,float64,0,0.0,968,False,128387.2014475938,202101.04964510404,158824.26454926867,14923.806879615222
Current - Driving axle X L1 - mean,float64,0,0.0,968,False,2548.256753609688,13835.605089538172,5808.825656043159,1560.5881739922183
Current - Driving axle X L2 - mean,float64,0,0.0,968,False,2513.618246390312,13996.166500605896,5879.268161831051,1621.6469309783827
Current - Driving axle X L3 - mean,float64,0,0.0,968,False,2528.0230748331005,14964.75688776567,5856.066756026762,1592.3942452463182
Current - Driving axle Y L1 - mean,float64,0,0.0,968,False,2873.976247168825,19413.95372250073,5197.374600118314,1212.4811998404566
Current - Driving axle Y L2 - mean,float64,0,0.0,968,False,2834.907740167073,11891.794423499192,5286.92044602876,1188.6927873148895
Current - Driving axle Y L3 - mean,float64,0,0.0,968,False,2866.5645198926613,16271.96693872478,5221.130348958251,1177.7576844704274
Current - Driving axle Z L1 - mean,float64,0,0.0,968,False,505.779392924017,14836.561613504044,3433.511266064305,2394.9908114956115
Current - Driving axle Z L2 - mean,float64,0,0.0,968,False,521.1879547097085,14655.175638537585,3576.675342835749,2422.02627695548
Current - Driving axle Z L3 - mean,float64,0,0.0,968,False,534.3744803638675,14266.682951925706,3579.9110511894514,2406.1423268731696
Accelerometer - Spindle +Y - std,float64,0,0.0,968,False,221.24952301002244,18781.54559586988,581.5635910537201,923.5212596091479
Accelerometer - Spindle -Z - std,float64,0,0.0,968,False,83.5067192534288,6318.364351337533,152.61098469943624,292.6501375849844
Accelerometer - Spindle -X - std,float64,0,0.0,968,False,204.77061979880952,11854.661932065404,341.0742964069737,627.8919197317574
Accelerometer - X Driving axle +Z - std,float64,0,0.0,968,False,11.020886173650132,381.19920612536345,38.369082991801974,23.307992217139255
Accelerometer - X Driving axle -X - std,float64,0,0.0,968,False,10.245785199084915,339.70494541655984,45.44293974409745,25.69227481502539
Accelerometer - Y Driving axle +Z - std,float64,0,0.0,968,False,9.550262772326535,344.23026920940504,23.008503379846886,15.926136409993509
Accelerometer - Y Driving axle +Y - std,float64,0,0.0,968,False,7.769650712021014,275.55535861758904,20.384098971562413,13.645739386387715
Accelerometer - Y Driving axle -X - std,float64,0,0.0,968,False,10.965969534377477,276.8463522909923,24.538061580192995,14.168206000282014
Current - Spindle L1 - std,float64,0,0.0,968,False,12663.103042795,100675.11419916352,42112.227540523825,18983.861602067413
Current - Spindle L2 - std,float64,0,0.0,968,False,12384.116675600077,100248.1134558465,42094.06057380214,19005.93484047977
Current - Spindle L3 - std,float64,0,0.0,968,False,12595.98293101238,100591.94569823876,42060.709640184505,18921.621769055237
Current - Driving axle X L1 - std,float64,0,0.0,968,False,1311.2181317317647,14524.266166004909,3484.799649961317,1915.1577688813509
Current - Driving axle X L2 - std,float64,0,0.0,968,False,1338.0816681774006,14777.04036612792,3538.536797520064,1938.2310732821552
Current - Driving axle X L3 - std,float64,0,0.0,968,False,1311.8040255258973,14665.088994242951,3511.3781631092506,1941.0444358711864
Current - Driving axle Y L1 - std,float64,0,0.0,968,False,2495.514990854452,13462.02017401429,4580.18844216482,1227.5206621081122
Current - Driving axle Y L2 - std,float64,0,0.0,968,False,2518.994645135041,13478.007787819652,4678.520498614824,1206.097824672349
Current - Driving axle Y L3 - std,float64,0,0.0,968,False,2498.7154410718717,13043.19456689298,4621.533070088178,1213.6663093746251
Current - Driving axle Z L1 - std,float64,0,0.0,968,False,599.9136367712849,15427.777332427078,6275.403721022463,3105.756838620586
Current - Driving axle Z L2 - std,float64,0,0.0,968,False,577.9383426997554,15696.342974067464,6384.983892685137,3118.3090664024626
Current - Driving axle Z L3 - std,float64,0,0.0,968,False,676.1878118134434,15670.121308905542,6393.851328877925,3133.7013332931365
Accelerometer - Spindle +Y - skew,float64,0,0.0,968,False,-13.638376189442676,10.305329342211952,-5.044420192559582,3.609926133907271
Accelerometer - Spindle -Z - skew,float64,0,0.0,968,False,-8.972644207632706,6.5839016736222025,-0.10493065738685493,0.5371918987869564
Accelerometer - Spindle -X - skew,float64,0,0.0,968,False,-2.3672798791012704,11.391618207476078,0.030576200770636768,0.4940256209993517
Accelerometer - X Driving axle +Z - skew,float64,0,0.0,968,False,-0.9618752341615728,0.7593129824923786,0.04864274168532926,0.15484159351573298
Accelerometer - X Driving axle -X - skew,float64,0,0.0,968,False,-3.2121541422316966,1.6642566959438811,0.0357037995345138,0.3115021839095324
Accelerometer - Y Driving axle +Z - skew,float64,0,0.0,968,False,-1.8940605775570536,0.5848513616946844,-0.06419424296799567,0.15043315760021309
