feature,correlation,absolute_correlation
Current - Driving axle X L2 - mean,-0.6917632350914785,0.6917632350914785
Current - Driving axle X L1 - mean,-0.6915641855752689,0.6915641855752689
Current - Driving axle X L3 - mean,-0.6903427999364077,0.6903427999364077
Current - Driving axle Y L3 - mean,-0.5421594026714421,0.5421594026714421
Current - Driving axle Y L2 - mean,-0.5385051450048508,0.5385051450048508
Current - Driving axle Y L1 - mean,-0.5156271527948221,0.5156271527948221
Current - Driving axle X L2 - std,-0.5082542828559833,0.5082542828559833
Current - Driving axle X L1 - std,-0.506424988167496,0.506424988167496
Current - Driving axle X L3 - std,-0.5056855767595794,0.5056855767595794
Current - Driving axle X L1 - max,-0.4856316655260228,0.4856316655260228
Current - Driving axle X L2 - max,-0.4849267559757521,0.4849267559757521
Current - Driving axle X L3 - max,-0.48113915617730174,0.48113915617730174
Current - Driving axle Y L1 - std,-0.46076654530907246,0.46076654530907246
Current - Driving axle Y L3 - std,-0.45679750223188226,0.45679750223188226
Current - Driving axle Y L2 - std,-0.4564063504144289,0.4564063504144289
Accelerometer - X Driving axle -X - std,-0.4492902062361809,0.4492902062361809
Accelerometer - Y Driving axle -X - std,-0.4300991686842156,0.4300991686842156
Accelerometer - Y Driving axle +Y - std,-0.4124077329287271,0.4124077329287271
Accelerometer - X Driving axle +Z - std,-0.4046425087972844,0.4046425087972844
Accelerometer - Y Driving axle +Z - std,-0.36471184802108025,0.36471184802108025
Current - Driving axle Y L1 - max,-0.36089242126562193,0.36089242126562193
Current - Spindle L3 - mean,-0.3478327792325491,0.3478327792325491
Current - Spindle L2 - mean,-0.34782391483225056,0.34782391483225056
Accelerometer - Spindle +Y - skew,-0.34713242446094295,0.34713242446094295
Current - Spindle L1 - mean,-0.34682679129665006,0.34682679129665006
Current - Driving axle Y L3 - max,-0.341340591043013,0.341340591043013
Current - Driving axle Y L2 - max,-0.34040891817277896,0.34040891817277896
Accelerometer - X Driving axle -X - max,-0.28810236876413453,0.28810236876413453
Accelerometer - Spindle -X - max,-0.2719363876353061,0.2719363876353061
Accelerometer - X Driving axle -X - min,0.2651037106842306,0.2651037106842306
Accelerometer - Spindle -X - min,0.2525411476927304,0.2525411476927304
Current - Driving axle Y L2 - kurtosis,0.23494612531453105,0.23494612531453105
Current - Driving axle X L1 - skew,-0.2342554429837035,0.2342554429837035
Current - Driving axle X L3 - kurtosis,0.2338369512793306,0.2338369512793306
Current - Driving axle Y L2 - min,-0.2313912536755335,0.2313912536755335
Current - Driving axle Y L3 - min,-0.22586404938998086,0.22586404938998086
Current - Driving axle X L3 - skew,-0.22405742765285944,0.22405742765285944
Current - Driving axle X L2 - kurtosis,0.22352768384914115,0.22352768384914115
Current - Driving axle X L1 - kurtosis,0.21704651938442135,0.21704651938442135
Accelerometer - Spindle +Y - min,-0.2155437480250057,0.2155437480250057
Current - Driving axle X L2 - skew,-0.21320771469058525,0.21320771469058525
