ToolIndex,number_of_samples,min_cycle,max_cycle,start_health,end_health,mean_health,MillingToolType,ADOC,RDOC,HardnessMean,ToolHolderLength
2,48,1,50,1.0,0.0,0.49999999997916666,1,5,8.0,36.67,80
3,44,1,50,1.0,0.0,0.5032467532272727,1,10,8.0,40.0,80
4,41,1,41,1.0,0.0,0.5,1,5,8.0,35.33,80
5,51,1,54,1.0,0.0,0.4883462819019608,1,10,8.0,38.17,80
6,28,1,30,1.0,0.0,0.5,1,5,8.0,40.0,80
7,124,1,127,1.0,0.0,0.4983998975967742,1,10,4.5,40.33,80
8,116,1,116,1.0,0.0,0.5,1,5,4.5,41.67,80
9,149,1,150,1.0,0.0,0.5032205756510066,1,5,4.5,37.33,80
10,15,1,15,1.0,0.0,0.5,1,10,4.5,37.33,160
11,1,1,1,0.0,0.0,0.0,1,10,4.5,37.17,160
101,84,1,84,1.0,0.0,0.5,2,10,4.5,39.33,80
102,82,1,85,1.0,0.0,0.49666085946341465,2,5,4.5,38.33,80
103,60,1,60,1.0,0.0,0.5,2,10,4.5,39.83,80
105,125,1,125,1.0,0.0,0.5,2,5,4.5,38.33,80
