Rank,experiment,model,number_features,CV_MAE,CV_RMSE,CV_R2,Fold_MAE_Mean,Fold_MAE_Std,Fold_RMSE_Mean,Fold_RMSE_Std,Fold_R2_Mean,Fold_R2_Std,RuntimeSeconds
1,D_age_aware,RandomForest,126,0.1532506413716272,0.1950017020765924,0.5500496633069102,0.15365567931391405,0.0705901845406605,0.18214449089138557,0.0794003093129208,0.5487206966355201,0.38549429327044266,1.101121187210083
2,A_condition_based,RandomForest,125,0.1750665467709108,0.22062262830699078,0.4240458856041456,0.1755483023909609,0.07723253617112828,0.20716695752678643,0.08669387346227952,0.4226209287879651,0.473072876571965,1.1402151584625244
3,B_current_based,RandomForest,77,0.1827415557835787,0.22462247621615283,0.4029726895356234,0.18267900849412647,0.04141458224801923,0.21992575583956184,0.050670891426203644,0.4057442805075402,0.28704608598732134,1.1045868396759033
4,C_vibration_based,RandomForest,53,0.17398740583972613,0.2297022674321804,0.3756640522079383,0.17452213082798615,0.10005296123197131,0.20886780774176658,0.10888509842480877,0.3721119578385924,0.6558110358822324,1.0703680515289307
5,B_current_based,Ridge,77,0.21145896916487222,0.26644442261474527,0.15995791466992237,0.21184324161263737,0.05817268096105426,0.2641469684486951,0.04113952441734155,0.1582664366115098,0.26688032172885967,0.02510690689086914
6,A_condition_based,DummyMean,125,0.25136441772924345,0.2907114067049469,-2.7452009460304794e-05,0.25137013855577656,0.003010029971234451,0.29070646059431227,0.0026768624161777753,-7.708997806310514e-05,0.00010510473776597233,0.024492979049682617
7,B_current_based,DummyMean,77,0.25136441772924345,0.2907114067049469,-2.7452009460304794e-05,0.25137013855577656,0.003010029971234451,0.29070646059431227,0.0026768624161777753,-7.708997806310514e-05,0.00010510473776597233,0.008887052536010742
8,C_vibration_based,DummyMean,53,0.25136441772924345,0.2907114067049469,-2.7452009460304794e-05,0.25137013855577656,0.003010029971234451,0.29070646059431227,0.0026768624161777753,-7.708997806310514e-05,0.00010510473776597233,0.009150981903076172
9,D_age_aware,DummyMean,126,0.25136441772924345,0.2907114067049469,-2.7452009460304794e-05,0.25137013855577656,0.003010029971234451,0.29070646059431227,0.0026768624161777753,-7.708997806310514e-05,0.00010510473776597233,0.009891033172607422
10,D_age_aware,Ridge,126,0.23936050567764164,0.5511323835831041,-2.5941784606973366,0.23902171364962008,0.028489786282710042,0.4686006271202595,0.3237387749628857,-2.664434978645608,5.269754923081975,0.028918027877807617
11,A_condition_based,Ridge,125,0.30209644003311253,0.9647284453008533,-10.012804886235436,0.303218495958631,0.12654001459887634,0.7766739185607249,0.6452231786312217,-10.257648910205635,14.197526459340349,0.040680885314941406
12,C_vibration_based,Ridge,53,0.3414190108697325,1.3559053250136717,-20.754369937998856,0.34284374952569296,0.16289381163590747,1.0591817489233248,0.9581618979098507,-21.22898045649104,28.82834757886558,0.02229905128479004
