experiment,model,fold,number_features,training_rows,validation_rows,training_tools,validation_tools,MAE,RMSE,R2
A_condition_based,DummyMean,1,125,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.25166916716968074,0.29078494714420766,-0.00017914642072636155
A_condition_based,DummyMean,2,125,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.2530151011690338,0.2921893683508223,-7.520981968323071e-07
A_condition_based,DummyMean,3,125,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.24624095670238097,0.2862306331743205,-3.108155803843715e-07
A_condition_based,DummyMean,4,125,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.25397874948197335,0.29320703776647633,-0.00020446919051719803
A_condition_based,DummyMean,5,125,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.25194671825581394,0.2911203165357342,-7.713652947494154e-07
A_condition_based,Ridge,1,125,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.5012951675500573,1.3661410190896126,-21.076235399565125
A_condition_based,Ridge,2,125,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.18575813230550492,0.2944558658029124,-0.01557482809218902
A_condition_based,Ridge,3,125,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.3354452940093018,1.5884460210544524,-29.797313551656984
A_condition_based,Ridge,4,125,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.289298981287355,0.36172904916901805,-0.5223229113858132
A_condition_based,Ridge,5,125,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.2042949046409358,0.27259763768762896,0.12320213967193472
A_condition_based,RandomForest,1,125,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.29575943317825654,0.3383858649176587,-0.35443566202437204
A_condition_based,RandomForest,2,125,671,166,"[3, 5, 6, 7, 8, 9, 10, 101, 103]","[4, 105]",0.11224156181439245,0.12795827500399498,0.808217815572944
A_condition_based,RandomForest,3,125,669,168,"[4, 5, 6, 8, 9, 10, 101, 103, 105]","[3, 7]",0.10532284762940289,0.12895743301576024,0.7970165303815586
A_condition_based,RandomForest,4,125,670,167,"[3, 4, 6, 7, 9, 10, 101, 103, 105]","[5, 8]",0.1960048364288072,0.2277151764924984,0.3967130070041983
A_condition_based,RandomForest,5,125,665,172,"[3, 4, 5, 7, 8, 9, 10, 105]","[6, 101, 103]",0.1684128329039454,0.2128180382040199,0.4655929530054964
B_current_based,DummyMean,1,77,673,164,"[3, 4, 5, 6, 7, 8, 101, 103, 105]","[9, 10]",0.25166916716968074,0.29078494714420766,-0.00017914642072636155
