experiment,fold,validation_tools,validation_rows,MAE,RMSE,R2
A_condition_based,1,"[9, 10]",164,0.2717791442892958,0.3183882113814687,-0.1990793169000935
A_condition_based,2,"[4, 105]",166,0.09666757535624718,0.118949236326925,0.8342724066260767
A_condition_based,3,"[3, 7]",168,0.11811699948999577,0.14258502906570614,0.7518491486999686
A_condition_based,4,"[5, 8]",167,0.19088105498488614,0.22198759987109476,0.4266795390925633
A_condition_based,5,"[6, 101, 103]",172,0.17820679469478395,0.23251842046988003,0.36207439589037205
B_current_based,1,"[9, 10]",164,0.14438337265391674,0.18129818179740195,0.6112048392204936
B_current_based,2,"[4, 105]",166,0.1487487415473958,0.18416742872634717,0.6027195840971753
B_current_based,3,"[3, 7]",168,0.1394418880467399,0.17823708990792814,0.6122390434948921
B_current_based,4,"[5, 8]",167,0.21494297636324464,0.25693066547597715,0.23198112478866173
B_current_based,5,"[6, 101, 103]",172,0.19560036692754368,0.26689828087757117,0.1594823098789364
C_vibration_based,1,"[9, 10]",164,0.302392250435126,0.3534299068182821,-0.47754441904228195
C_vibration_based,2,"[4, 105]",166,0.08692949684730185,0.11637884330299555,0.8413574871771172
C_vibration_based,3,"[3, 7]",168,0.12162438937404083,0.1588465259364604,0.6920194044646443
C_vibration_based,4,"[5, 8]",167,0.17976737594443248,0.20685382267418273,0.5021859929039945
C_vibration_based,5,"[6, 101, 103]",172,0.16508509566671448,0.21136047674148925,0.4728880462929863
D_age_aware,1,"[9, 10]",164,0.23318753539983772,0.2780065152017731,0.08579434948168008
D_age_aware,2,"[4, 105]",166,0.07677820175752047,0.09817067796802961,0.8871152987455716
D_age_aware,3,"[3, 7]",168,0.11563026021403001,0.14502102879265674,0.7432976314309199
D_age_aware,4,"[5, 8]",167,0.11856436543092796,0.14875100704310215,0.7425695954165015
D_age_aware,5,"[6, 101, 103]",172,0.1329144554829962,0.17394768985557735,0.6429799255551092
