mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment
0.5690999984741211,0.025638548665803312,0.02484135627746582,0.004686170122337029,1.0,1.0,0.5,150,8,4,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.1147934857727676,-0.012971440526685335,-0.017879303455307798,-0.050621110854042375,-0.05612316851529635,-0.0504777018248199,0.03643566148147549,6,A_condition_based
1.019407320022583,0.030352165484004292,0.025771331787109376,0.003048384375493639,1.0,10.0,0.1,600,1,5,0.1,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.10980762942803317,-0.013510855580190568,-0.021687150632375134,-0.04920492346419286,-0.05288368788292004,-0.049418849397542354,0.03381504623682976,3,A_condition_based
0.5520042896270752,0.01730944740900955,0.010431146621704102,0.003024577149528297,0.85,3.0,0.1,150,8,5,0.08,0.05,1.0,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.08, 'gamma': 0.05, 'colsample_bytree': 1.0}",-0.12051294139014099,-0.012869945876992438,-0.017924077242768496,-0.05450190240825326,-0.054393872482410795,-0.0520405478801132,0.03846643915369542,11,A_condition_based
2.4290851593017577,0.06086868123487373,0.010174226760864259,0.0013908971066271245,1.0,1.0,0.01,150,1,5,0.05,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.13473150055552052,-0.011914496043354964,-0.017680171286825443,-0.055012728963379956,-0.05298879202606621,-0.05446553777502942,0.04383801847119702,15,A_condition_based
0.5573028087615967,0.04044545643535708,0.010941171646118164,0.0037503604759848083,1.0,10.0,0.01,250,1,2,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.13036609840783042,-0.014906986551800352,-0.023816072345327483,-0.06003809146692783,-0.05630181294697934,-0.05708581234377308,0.04065774188874493,20,A_condition_based
2.8704402446746826,0.17812484435198295,0.011320781707763673,0.0017161235400729587,0.7,1.0,0.01,250,5,5,0.1,0.0,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.12419366905645726,-0.011854795949292047,-0.016627611333732542,-0.05486983011105906,-0.052369686531577024,-0.051983118596423586,0.04020731353411411,10,A_condition_based
6.135775184631347,0.3058407722674994,0.0106231689453125,0.002042672931214678,0.85,10.0,0.01,600,3,5,0.05,0.0,0.8,"{'subsample': 0.85, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}",-0.11659745870702884,-0.011012739547354702,-0.017269030267442646,-0.053771635560863174,-0.05673306022258557,-0.05107678486105499,0.03763058960486892,7,A_condition_based
1.305140781402588,0.010539322415960888,0.009580278396606445,0.0007923845059712682,0.7,10.0,0.0,250,8,4,0.02,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.11217015424442914,-0.013592717474427458,-0.01976021429316618,-0.0495865206090023,-0.04950240169442407,-0.04892240166308982,0.03492756910427674,2,A_condition_based
1.0143903732299804,0.017641652902874935,0.01223459243774414,0.0018405547447205115,0.7,5.0,0.5,400,8,3,0.02,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.5, 'n_estimators': 400, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.11246723369814682,-0.012050030967537585,-0.022419941041904187,-0.05126516458780879,-0.050979466167884874,-0.049836367292656454,0.03494407304447924,4,A_condition_based
1.2580437183380127,0.06086211847610445,0.013215732574462891,0.004383308507872072,1.0,10.0,0.01,150,8,4,0.02,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.10137105314669081,-0.014148920822758655,-0.020330490513668267,-0.04927849449652927,-0.05406481585780792,-0.04783875496749098,0.030978228388431735,1,A_condition_based
