Dataset,ToolIndex,NumberOfCycle,ActualHealth,AnomalyScore,IsolationForestLabel,IsAnomaly,HealthBand
TRAIN,3,1,1.0,-0.044666499849885355,1,False,HEALTHY
TRAIN,3,2,0.979591837,-0.016792943338574562,1,False,HEALTHY
TRAIN,3,3,0.959183673,-0.046966299621115926,1,False,HEALTHY
TRAIN,3,4,0.93877551,-0.06036972714535355,1,False,HEALTHY
TRAIN,3,6,0.897959184,-0.04157308743044824,1,False,HEALTHY
TRAIN,3,7,0.87755102,-0.05619583473810641,1,False,HEALTHY
TRAIN,3,8,0.857142857,-0.03829767256897704,1,False,HEALTHY
TRAIN,3,10,0.816326531,-0.021998832741762453,1,False,HEALTHY
TRAIN,3,11,0.795918367,-0.048477573107746086,1,False,HEALTHY
TRAIN,3,13,0.755102041,0.008830723323765666,-1,True,HEALTHY
TRAIN,3,14,0.734693878,-0.02753682406806529,1,False,EARLY_WEAR
TRAIN,3,15,0.714285714,-0.05053406263616805,1,False,EARLY_WEAR
TRAIN,3,16,0.693877551,-0.03162572470160657,1,False,EARLY_WEAR
TRAIN,3,17,0.673469388,0.014484583611415802,-1,True,EARLY_WEAR
TRAIN,3,18,0.653061224,-0.009645904856539989,1,False,EARLY_WEAR
TRAIN,3,19,0.632653061,-0.04691501611996468,1,False,EARLY_WEAR
TRAIN,3,20,0.612244898,-0.06707961646909405,1,False,EARLY_WEAR
TRAIN,3,21,0.591836735,0.014094370598841333,-1,True,EARLY_WEAR
TRAIN,3,22,0.571428571,0.004324872066432506,-1,True,EARLY_WEAR
TRAIN,3,23,0.551020408,-0.02195506505460837,1,False,EARLY_WEAR
TRAIN,3,24,0.530612245,-0.04426641292516137,1,False,EARLY_WEAR
TRAIN,3,25,0.510204082,0.041837369451150797,-1,True,EARLY_WEAR
TRAIN,3,26,0.489795918,0.04681626019715379,-1,True,DEGRADED
TRAIN,3,27,0.469387755,0.007878245468370293,-1,True,DEGRADED
TRAIN,3,28,0.448979592,0.006151459523548952,-1,True,DEGRADED
TRAIN,3,29,0.428571429,0.060659313297712236,-1,True,DEGRADED
TRAIN,3,30,0.408163265,0.08023269686773071,-1,True,DEGRADED
TRAIN,3,31,0.387755102,0.030072629428627318,-1,True,DEGRADED
TRAIN,3,32,0.367346939,-0.017726691232980762,1,False,DEGRADED
TRAIN,3,33,0.346938776,0.06819842416648558,-1,True,DEGRADED
TRAIN,3,34,0.326530612,0.06452951399298712,-1,True,DEGRADED
TRAIN,3,35,0.306122449,0.044294660909910855,-1,True,DEGRADED
TRAIN,3,36,0.285714286,-0.012614001452487922,1,False,DEGRADED
TRAIN,3,37,0.265306122,0.07517018932709174,-1,True,DEGRADED
TRAIN,3,38,0.244897959,0.07324117886714665,-1,True,CRITICAL
TRAIN,3,40,0.204081633,0.03449864913312095,-1,True,CRITICAL
TRAIN,3,41,0.183673469,0.0712186815130802,-1,True,CRITICAL
TRAIN,3,42,0.163265306,0.08567850299867041,-1,True,CRITICAL
TRAIN,3,43,0.142857143,0.12424472979002654,-1,True,CRITICAL
TRAIN,3,44,0.12244898,0.051369891559706504,-1,True,CRITICAL
TRAIN,3,45,0.102040816,0.11671262708931851,-1,True,CRITICAL
TRAIN,3,46,0.081632653,0.09289366833725532,-1,True,CRITICAL
TRAIN,3,49,0.020408163,0.13754516965913366,-1,True,CRITICAL
TRAIN,3,50,0.0,0.1308665773682629,-1,True,CRITICAL
TRAIN,4,1,1.0,-0.030928814045871,1,False,HEALTHY
TRAIN,4,2,0.975,-0.0864359753756676,1,False,HEALTHY
TRAIN,4,3,0.95,-0.09224412561357054,1,False,HEALTHY
TRAIN,4,4,0.925,-0.09117675940849196,1,False,HEALTHY
TRAIN,4,5,0.9,-0.0811052235991142,1,False,HEALTHY
TRAIN,4,6,0.875,-0.08590198822800227,1,False,HEALTHY
TRAIN,4,7,0.85,-0.08913939191522269,1,False,HEALTHY
TRAIN,4,8,0.825,0.053089149177467876,-1,True,HEALTHY
TRAIN,4,9,0.8,-0.054634323083331604,1,False,HEALTHY
TRAIN,4,10,0.775,-0.07137790932253002,1,False,HEALTHY
TRAIN,4,11,0.75,-0.06089452869177886,1,False,HEALTHY
TRAIN,4,12,0.725,-0.06867586587767388,1,False,EARLY_WEAR
